title,text,rating,sentiment,review_year
"Silva checks off all the boxes, but efficiency doesn't equal enjoyment","Smug, formulaic, and downright boring.... Yes, I'm talking about a Daniel Silva novel. I can't believe it either. But this latest effort--much of which was a tedious info-dump--manages to be both preposterous and dull.<br /><br />Whereas Silva's background as a journalist brought his previous novels to life, The Cellist reveals a mastermind who no longer endeavors to (or is no longer able to) distinguish between fact and fiction. Even at Silva's best, he's been unable to resist the temptation to inject himself into his stories. I don't mean in the sense that all authors are reflected in their works; every character, after all, reveals something about its creator. But I've always gotten the impression that Silva is absurdly pleased with himself: little comments here and there throughout the series seem designed to jerk the reader from the narrative and remind them of the genius behind the fiction. And in the case of The Cellist, the fiction simply isn't all that great. I kept waiting for the real Gabriel Allon to show up. About halfway through my slog-of-a-read, I came to the sinking realization that he'd been there all along. And that I no longer care for him. Gabriel hasn't aged well; he's a shell of his former intriguing self. No-- not a shell. A puppet. Gabriel Allon has become little more than the mouthpiece of his creator. The author's prerogative, to be sure. But it's not the reader's joy.<br /><br />Perhaps it really is time for Gabriel to ride off into the Venetian sunset.",1.0,0,2021
Corruption or Public Service? Autocracy or Democracy?,"This was a better read than I expected. Schiff begins with his experience during the Jan 6 attack on the Capitol by Trump supporters. It is, of course, a defining event of the Trump presidency and a turning point in our history. On January 6th, for the first time, many Americans realized how easily we could lose our democracy.<br /><br />He then goes back to his personal history, how he became a successful prosecutor, then lost several campaigns in California before finally winning. Congressional Democrats noticed, and asked him to take on the incumbent Republican congressman in his district. Schiff’s victory was a big deal for about 6 weeks--and then he realized he was one of 435 members and should remember to focus on public service, not expecting fame.<br /><br />He describes what the House is like, including political divisions, the seniority system and having to conform to party discipline. He names some of the Republicans he feels are more in it for themselves than for public service (McCarthy, Gowdy, Jordan, Gaetz are a few of them, with examples.) He revisits the Benghazi hearings which turned into a political effort to make Clinton look bad in an election year, and foreshadowed some of Trump's strategies.<br /><br />He goes into depth on the Russia investigation and how Barr distorted its conclusions. Schiff criticizes Mueller's House testimony, but attributes it to cognitive decline rather than, as it appeared, an unwillingness to criticize Trump. (Mueller, as many remember, refused to even read aloud from his own report.) Schiff includes his ""It's Not Okay"" speech, which is well worth re-reading.<br /><br />Mueller's failure to tell the public his conclusions emboldened Trump who made his infamous Ukrainian call the following day. Schiff was the House impeachment manager when Trump went on trial for his conduct in the Senate so this book is also an important historical record. In spite of the President’s abuse of power and corruption, he writes with some positivity here about public servants like Marie Yovanovitch. Schiff wonders ""how many, if any, witnesses"" would have come forward without her example.<br /><br />He concludes with the final year of Trump's presidency--which begins with the ""disaster"" of the coronavirus pandemic and ends with 350,000 Americans killed by it. It also ends with the nation’s first insurrection at the Capitol. This, after Trump and the Russians had spent the year spreading a steady disinformation stream about the ""rigged"" election and the likely ""voter fraud"" if Trump didn’t win (despite polls showing all year long that his loss was very possible). Schiff goes into some of the state Republican efforts in 2020 at disenfranchising likely Democratic voters, an ongoing effort.<br /><br />The final section is about January 6th and the second impeachment and trial, The earlier themes come together here—public service vs. corruption and self interest; democracy vs. autocracy. Schiff is genuinely surprised that many Republican colleagues whom he admired and believed to be sincere in their beliefs and principles have been so easily coopted by Trump and his power .<br /><br />Schiff's final conclusion is that ""the GOP has become an antitruth, antidemocratic cult organized around the former president."" He also warns how Republican legislatures in many states ""took the big lie and ran with it, using false charges of voter fraud to usher in a new generation of Jim Crow laws....""<br /><br />Congress has been weakened during the Trump years, but, in spite of this Schiff looks at the strength of the Constitution and the strength, historically, of American democracy, and remains cautiously optimistic. This is a look at one of the most important periods in our history, told by a Democratic leader who had an central role in it. It is very much worth reading.",5.0,1,2021
Well written and researched; amazing recap of the events leading to 1/6,"Yes, it's well written and well researched. You'd expect that from these two respected Washington Post reporters. It's hard to organize material like this--over 140 interviews, so many quotes and events. They do a great job of it, focusing on Trump's ""catastrophic"" last year--his failures with covid, George Floyd protests and his desire for a military response (welcome push back to this from Milley). Barr gets some welcome push back from Geoffrey Berman before Berman is fired. Berman's effort was important.<br /><br />These are the things you like to read--people standing up for what's right, even when it means taking on the rude, often profane and angry President. It's the same way when they get to the insurrection--we see some advisors who are normally so slavish (Barr, Pence, e.g.) standing up for the country. This is an important historical document as well as excellent journalism.  Rucker and Leonnig show us the events and recreate many conversations (obviously checking with both sides as they include the denials that such conversation ever took place and leave it for us to decide whom to believe).<br /><br />It's a long book, and very impressive how they weave so many people and events and situations together so seamlessly.  At times, I wished they judged these people inside the administration a bit more; yet I guess there's enough detail for readers to judge for ourselves.  Re-reading the last part of it--on the insurrection--I appreciate their approach more than I did the first time through. It's actually rather amazing that two readers with different political views of Trump and his presidency could probably read this and not be put off by what Rucker and Leonnig are writing. They step past many opportunities for ridicule and have a respectful tone toward nearly everyone--not so easy.<br /><br />Trump's catastrophic last year, truly is one for the history books--from the botched covid management, to taking the wrong side in racial justice issues after George Floyd's murder, to an actual insurrection instigated by the President of the United States.  The lengthy section on the insurrection alone justifies reading the book, in my opinion.  It is a pivotal event in American history and, some day, will define the Trump presidency.  It's easy to forget just how complicated it all was because of how smoothly they bring it all together. Impressive.  Also, time has passed and more information has come out since this went to the publisher but it doesn't seem at all dated. Actually, they made news with its publishing, including General Milley's reaction to what was happening after the election. A ""Reichstag moment"", think of it. (I do wish those in the Trump administration were being held more accountable here, since he could have easily won a second term and many of them seem to regard that as a threat to democracy and the country. They should have--should have--done more, including going public. The authors are, in my opinion, too kind in the face of a lot of complicity, but I suppose that is for someone -else's- book). In time, I'm sure we will learn more--particularly regarding what was happening at the White House--but I think this book will stand the test of time.<br /><br /> ""I Alone Can Fix It"" gives us a lot to think about, including how close we came to losing our democracy. And how easily--really easily, particularly if the leader was a smarter, and more strategic--something like this could happen again, only successfully.",5.0,1,2021
Horrible and Simplistic,This books lacks any meaning or depth and the pages on Kindle are duplicated. If I could give less than one star I would. Waste of money!,1.0,0,2021
Should have left politics out,"I couldn't get past the snarky political comments that were thrown in just to be nasty. They certainly didn't add anything to the book. I stopped reading after the fifth one. I don't care about Mr. King's political views. I own 65 of his books. I loved all of them. Lately, his work, like this book, is subpar. This one was the worst yet.",1.0,0,2021
It picks up in the second half,"I wanted to like this book. Bender did so many interviews for it – 150 with Trump and those connected to the campaign or administration.  It's so difficult to organize all that into a smoothly flowing narrative, which he does.  Also, it gets better when he gets to 2020, particularly with regard to George Floyd protests and Trump's disproportionate reaction to them.  Maybe its more interesting because he's describing people around Trump who are more interesting and smarter than the campaign types. (Milley speaks for many when he tells Stephen Miller to ""Shut the f- up."")<br /><br />I think my problem with the book overall is partly the generally morally neutral tone (this is Donald Trump, after all), and partly that there's too much (Trump Republican) politics and too little historical ""big picture"". (With a few exceptions. Like pointing out Trump's ""forgotten man"" appeal in the campaign turned into taking away the things FDR gave -his- ""forgotten man"" once Trump was president.)<br /><br />If you're a fan, it's probably not flattering enough.  If you're a critic, it ignores too much.  .  There’s Trump and his campaign and administration supplicants on every page.  No Democrats, except through Trump’s eyes. When they impeach him over Ukraine, Trump mocks Pelosi, holds a strategic rally, isn’t happy about it but spins it as a “victory” because all House Republicans voted for him.  Do we learn about the Democrats' case for impeachment? Some of the words they used? Ideas they developed? The interesting witnesses? No, it’s all seen through Trump’s eyes and the political operatives around him.<br /><br />(I already had a flash of disappointment when Bender described Trump Tower as “68 stories” tall. No. That’s Trump’s fiction.  It’s 58 stories tall, which Bender surely knows, since he’s interviewed him there and seen the way the elevator is marked incorrectly. It's kind of a metaphor for how much of Trump's (false) reality gets uncritically shared here.)<br /><br />I was very surprised how he writes quite a bit about the 2016 campaign, but it's so superficial. Very little about Clinton. Next to nothing about Putin and Assange's interference--cheating--on Trump's behalf.  Similarly, there's next to nothing about the special counsel's report.  A good time to correct the record--point out just how much Trump lies and gaslights--but...no.  Of course, he picks up on some failures and mistakes (covid, Floyd, insurrection)—but it’s still too flattering.  Way too much nonsense about Hunter Biden..<br /><br />Trump, the centerpiece of everything, seems a small man with a grandiose self image, a bully with nothing of much interest ever on his mind other than showing he's not weak. His lie about winning unspools here without a lot of editorializing from Bender.  But he's much worse than all this (see historians' recent rating of presidents:  He's #41 of 44 and likely to drop to the bottom next time).<br /><br />If you like Trump--or at least don't hate him--and enjoy insider politics with an emphasis on one side only--you might enjoy this.",3.0,0,2021
America's Sweetheart is really a Mean Girl,"Yes, Katie Couric has had an accomplished career, as entertainer and in tv journalism. This book makes clear she is far more an entertainer than she is a journalist.  In this memoir, what she cares most about in life are the things of entertainment--money, celebrity, and standing out in a crowd, especially a crowd of VIPs.  She's certainly a savvy self-promoter and competent as a tv newsperson (the Sarah Palin moment showed the rewards from persistent questioning that we always need more of.)<br /><br />But she doesn't come across as actually ""smart"", because--for all the opportunities she's had, she regards it all so trivially.  Has she learned anything meaningful from her apparently rich experiences? It doesn't seem so from ""Going There"" which she says expresses her real self.<br /><br />She was, from the beginning, well suited to television: cute, and an extrovert with a great smile.  Yes, she succeeded in a male-dominated field, but she seems to have played the game to do it.  She has an off-putting double standard for men and women.  She seems loath to criticize bad behavior in famous men, giving sort of a wink or a shrug to much of it in those she mentions (Sam Donaldson, Larry King, even Matt Lauer.  Dinner with Jeffrey Epstein doesn't mean much other than to archly note how her boyfriend pointed out ""how young"" the women were.  And how young were they? She doesn't say, or seem upset by being even tangentially part of his world.)<br /><br />Most people who knew her from the Today Show remember how mean she was to Ann Curry who, by comparison to Couric, always seemed genuine. I never understood it--Curry, professional, beautiful, reserved--seemed no threat to Katie's dominance on ""Today"".  But in this memoir, you can see she's just kind of mean to other women. It's no wonder that one of the young women Lauer abused told Curry (who reported it), but didn't tell Couric.  What woman would trust Katie with something like that? Here, she seems to criticize Lauer just as much as she has to, while often blaming his victims for not being as strong and assertive as Katie is.  She publishes her emails to Lauer--and his to her. Also shares private emails to her from others, also apparently without their permission.  Another Mean Girl move.)<br /><br />She's still mean to Curry here, repeating a ""joke"" Katie made at a Lauer roast even though she knew it hurt and humiliated Curry then.  So let's do it again, for all time, in a book.  (It was, btw, crude and unfunny even then.) She was hostile when Ashleigh Banfield got hired because Banfield was smart, pretty, and younger than Katie. She gets in digs at Deborah Norville, whom she permanently replaced when Norville went on maternity leave, for supposedly being unrelatable to viewers because of being so perfect. (It sounds like a compliment here. From Katie, it's not.)<br /><br />She snits about Martha Stewart not having a sense of humor until she went to prison. And on it goes. She doesn't mentor anyone because what if they're better than she is?  Even at CBS News, making top dollar at $15 mill a year, she has to still be the mean girl, head of the pack.<br /><br />She even felt threatened when her husband, a lawyer, became a legal analyst on television. ""He should stay in his lane,"" she thought.  (Yes, she eventually tuned in to his illness and suggests she blames herself. But is it a pose or real remorse? With Katie, she discloses a lot of unflattering things, but her real feelings about them are hard to tell. And, yes, she's done good work to educate people about colorectal cancer and screenings. She does charitable cancer work. That's commendable, but also benefits her public image, which seems never far from her mind.  Too harsh? Maybe. Maybe not.<br /><br />What really put me off wasn't all her digs at other famous women.  It was the way she took out after her daughter's nanny. She used a different name, but the real name is out now as the woman felt she needed to defend herself.  Couric wrote such insulting descriptions of her (a woman who was basically ""co-parenting"" with her for three years, but who Couric concludes had developed an ""unhealthy"" role in the household, ""making"" Couric abnormally dependent on her.) It's all kind of weird, unflattering to both, but particularly to the nanny who, in interviews, has said much of it wasn't true, and has supplied her own unflattering descriptions of Katie.<br /><br />Be that as it may, the nanny isn't a public figure with a best-selling book that millions will read and believe. It's a vintage mean girl move from Couric, but not surprising. As she often comes across here,  Couric's self-centered, competitive, intellectually shallow, vain, petty and really -not- much of a ""sweetheart"".",2.0,0,2021
Gossip--for the history books...,"This insider account is different from the others like Bolton or Comey because Grisham's #1 preoccupation is the personalities of the people around her. Some, like Jared and Ivanka, come across as both imperious and incompetent. (Ivanka frequently pulls rank while Grisham blames Jared for many of the failures of the Trump presidency--covid among them. When they interject themselves into a dinner with the Queen of England, Grisham compares them to the Beverly Hillbillies--basically, inappropriate and not knowing their place.)<br /><br />Of course, most of the anecdotes are about the First Lady and President.  Grisham was with Trump from the 2016 campaign until the Jan 6, 2020 insurrection when she quit.  (She first texted Melania if she'd like to issue a statement supporting political speech but condemning violence. She received one word from the First Lady who was busy with a photo shoot of a new rug...""No"".)  Melania, though generally detached and apathetic about her role,  IS energized by her many photo albums of herself as First Lady. Although per Grisham, they occasionally tamped down a Trump tirade or attack on someone, overall Melania agrees with him and isn't interested in the opportunities history has given her--other than the vanity projects for herself--photos, tennis pavilion, etc.<br /><br />Many people have objected to this book since Grisham was Trump's press secretary for 9 months (our money paying her salary) and never gave a single press conference. (Is the irony of the title intentional?) She was at one time Melania's press sec and, at another, Trump's, giving her a unique look at it all.  She notices the things that matter to her--Trump's rages, Melania's essential coldness (Grisham offers to comfort her with a walk on the beach as a friend after the Stormy Daniels' story, only to find Melania wondering if photographers will be there.<br /><br />Grisham can't really explain The Jacket with it's ""I Don't Care. Do U?"" message but reading about Melani it seems pretty obvious. (Trump, furious, made up the story about it being a rebuke to the press.)  Why did she remain in this toxic, crude, often sexist environment? (Trump, in front of her, asked her boyfriend--a WH staffer--if she was any good in bed.  At another time, on AF1, he asked if her teeth were really her own. She describes how he would call an attractive aide in to see him so he could watch her a** as she walked out of the room.)<br /><br />There are so many lowpoints for people who think about the office of the presidency and its history.  She will be criticized for this book--and for being part of this administration--but its a good document, in its way, of people who were not worthy of the position that was given them.  (Why did Grisham stay? Like so many others, two words:  personal ambition.  Like Trump and others around him, she put herself and her well-being first.)<br /><br />Grisham's book won't change anyone's mind --now-- but it will be part of future historians' invariably unflattering descriptions of the 45th president. In this it will sit alongside Michael Cohen, Comey, McCabe, Bolton et al as remarkably and consistently unflattering portrayals of an American president, including his intellectual limitations and character flaws.  There's never been a president like this one and, despite the adultation of the millions of Americans who adore him, history will not be kind.  In that context, this book in its focus on personality and character over policy is a worthwhile read, despite the moral failings of the author.",3.0,0,2021
Convoluted narrative for a simple message,"I don't have a Nobel prize nor expect to get one. So maybe this review is reflective of my dumbness.  But this book was nothing like ""Thinking Fast and Slow"", primarily because the core concept seems simple enough but beaten to a unnecessarily nasty pulp.<br /><br />The basic premise seems to be that decisions have noise in them (duh) and its important to understand that we should evaluate the decision making process and not just the outcome.  Accuracy, Precision, and Bias are terms familiar to anyone with a basic understanding of statistics; for others, a couple of early examples focusing on shooting targets easily educates the three terms and their differences.  The authors keep on stating the same concepts in a number of ways for the first 5-6 chapters.  And very often, simple observations are turned to very dense phrases without really serving any purpose than trying to sound very academic or scholarly.  (For example, ""..what they are trying to achieve is, regardless of verifiability, is the internal signal of completion provided by the coherence between the facts of the case and the judgement.  And what they should be trying to achieve...is the judgement process that would provide the best judgement over an ensemble of similar cases"") .  Then the authors spend a chapter or two differentiating ""predictive"" and ""evaluative"" judgements only to conclude that the difference is ""fuzzy"" (genius observation) and a decision will usually require both.<br /><br />If you are able to grind your way through the first 3 Parts (12 chapters), you will be able to pick up some new insights in Part IV and V that discuss on how variability/noise occurs and their various sources.  Conducting a ""noise audit"" and what constitutes decision ""hygiene"" are sections worth reading for those whose roles require constant synthesis of inputs from various experts/sources/stakeholders etc.<br /><br />Overall, the unnecessarily dense style that overcomplicates a simple message, lack of a clear target audience, and a narrative arc that just takes too long to provide new insights or provocative thoughts, makes this a fairly dull read.",3.0,0,2021
Don't recommend,This is not a good book and I don't recommend it and The author wrongfully accused someone of a horrible crime and ruined his life. He spent 16 years in prison for a crime he didn't commit because of this person.,1.0,0,2021
Stop With The White People Bashing,"I'm 41% into the book, and like usual, I like the author's style. But please, can we do without the white people bashing? It doesn't bring anything to the story. Like I said, I'm 41% in and I've come across 2 places where white people are bashed. Enough.",3.0,0,2021
