title,text,rating,sentiment,review_year
Here Come The Trolls. . .,"I felt compelled to respond due to the ""1st negative review"" I just read,(insert eye roll here)  as obviously, this was not written by a lover of Twilight books/films.  I have had the hardcover pre-ordered for months, but we are in the middle of a hurricane, so I had to opt and buy the kindle, due to the unlikelihood of the book being delivered today.<br /><br />It's been 15 years since the first Twilight book came out, and several years when Meyer's manuscript was released on the internet. She vowed to never finish, yet, here we are, she did finish it for her fans! I have been counting down the days until this was released for the past few months.<br /><br />It is the same story yet told differently. Everyone has a story but the perception is different when the other party tells the story. My husband wrote a book, he tells ""our story"" in a part of his memoir. Although similar, it is different due to his tone, and his recollection of events. When I tell our story it is the same story, yet there are stark differences. This is due to a different author, different verbiage, and a different tone. Although it is the same story, it is interesting to hear it told through someone else's eyes.<br /><br />As far as Midnight Sun, it is Edward, he was a little stuck up and reserved. We noticed this from the first twilight book/movie when he walked into the cafeteria and heard Bella's friends speaking of him, and he walked past and rolled his eyes. . . When he went to protect Bella from the guys she ran into while alone at the book store, he was aggressive and confident. It is just how Edward was. Bella softened him up and showed a different and less reserved and relaxed version of Edward. He grew throughout the series. They both did.<br /><br />So yes, the beginning of the book, Edward seems like a conceited jerk, but we never knew who he was before Bella, yet, we are learning now and I want to know. I have been waiting for this version. We only knew how he was pre-Bella, so this is very different.<br /><br />If you were a Twilight fan and felt like there was more of a story to tell, that it didn't need to just end, this will help fill in this void. If you are not a Twilight fan, you will just hate this book and complain about how horrible it is. If you didn't like the first 4, you will in NO WAY like this.<br /><br />As far as me? I loved hearing this story told in Edwards point of view. I am a HUGE Twilight fan, a 43-year-old Twilight fan at that!  Thank you to Stephanie Meyer for finally finishing and releasing Midnight Sun. Twilight Fans, you will NOT be disappointed.",5.0,1,2020
"No ""adults in the room"".  The only guardrail now is Trump's obsesssion with reelection...","First, the elephant in the room where it happened. Yes, John Bolton admits in this book, that the New York Times’ reporting during the impeachment was true: Bolton –did- back up the impeachment by leaking that Trump had withheld congressional funding from Ukraine in order to pressure them to lie and smear Joe Biden (and also to lie and say that Putin hadn’t cheated for Trump to win in 2016.) He withheld tax payer dollars to try to cheat and win the 2020 election--definitely impeachable and disqualifying.<br /><br />Unfortunately, leaked quotes to the New York Times did not sway Bolton’s fellow Republicans in the Senate in the way that his actual testimony (or even a press conference or sworn affidavit) could have.<br /><br />Bolton, not lacking in self-regard, has no regrets about his decision not to testify. He even, near the end of this book, bizarrely, accuses the House Managers of committing “impeachment malpractice” by not making a broader case. (He chooses to forget that Trump ordered complete non-cooperation from federal employees and also forbade everyone from turning over any requested documents.)<br /><br />It was only because of the testimonies of people far, far braver than John Bolton—and some good lawyering—that the Democrats were able to build a strong case against President Trump.  (Bolton writes that they should have taken their time—apparently also forgetting that the impeachment was about Trump “cheating to win” (again) in 2020. “Cheating to win an upcoming election” wasn’t the kind of danger to democracy that Democrats could pursue at their leisure.)<br /><br />Fortunately, there were some public servants who were far braver than NSA Bolton, including his own subordinates—Fiona Hill and Lt. Commander Alex Vindman. Unlike their boss, they risked their careers and saw their reputations falsely smeared, in order to do the right thing for their country. (In Vindman’s case, Trump not only fired him in retaliation for responding to the subpoena, he also fired his twin brother, an NSC lawyer with no involvement at all in the impeachment.<br /><br />I thought Bolton might have praised Vindman and Hill and the others who DID testify in spite of the risks. But, based on how he comes across in this 500+ page memoir, Bolton's not apparently the self-reflective type, and so, he doesn’t.<br /><br />For those expecting a juicy, gossipy book, this really isn't it. Most of the best quotes have already become public. (As has the president's stunning ignorance. Bolton tells us Trump didn't know that Finland is a country or that the UK is a nuclear power.)  Much of this book is about Bolton doing his job as NSA. He writes a lot about his work--and makes it sound like work--the meetings he took with others, the policies he wanted to see in North Korea...Syria...Iran...China... Europe, etc.  Honestly, a lot of this is very dull--and worse, if you don't even like the policies.<br /><br />Also, I didn't find Bolton a very satisfying observer, maybe because of his political orientation.  Time and again, he's in an interesting situation, but doesn't have much of interest to say about it. One example is that press conference between Putin and Trump in Helsinki, which was televised in full, following their one-on-one two hour meeting.  Bolton leaves out the context of the two men's answers--he shares Trump's dislike of reporters--and his summaries of what was said is poor.  As always, he shortchanges the importance of the Mueller investigation, including that just three days earlier Mueller indicted 13 Russians for their interference with the U.S. 2016 election.  He does mention what a bombshell Trump's expressed support for Putin over U.S. intel was, but doesn't write about the event or followup in a very interesting way. (Maybe Dan Coats will write a memoir some day. Trump's DNI almost resigned over Helsinki, per Bolton.)  As with the rest of the book we really don't get much sense of Donald Trump as a personality--what Bolton believes that the president is thinking and feeling, why he does what he does.  (Again, if only the writer was a journalist or historian.)<br /><br />Bolton clearly sees Putin as a U.S. adversary, and one who is in control of the Putin-Trump relationship. It surprised me that he didn't see this as a greater threat to the U.S. because of Trump's ongoing subservience to him, shown in Helsinki as other places.  He -does- seem more alarmed by the realization that this as a pattern--how easily foreign autocrats and dictators, including Kim, Xi and Erdogan, find it to manipulate Donald Trump by appealing to his self-interest and his vanity.<br /><br />(I -was- interested in the description of Putin as having two ways of interacting with others ""either humiliating them or dominating them"". (Sound familiar?) But this is just an aside. There's a blandness to much of Bolton's narrative, a passivity that makes you want a journalist or historian ""in the room"" instead.)<br />Bolton's narrative makes it clear that Trump doesn't care one bit for human rights, democracy or the rule of law.  He encourages Xi Jinping to build concentration camps to imprison China's 1 million Uighurs.  He only makes a statement about Saudi buddy Muhammed bin Salman's role in the grisly murder of journalist--and American resident--Jamal Khashoggi--because he wants to distract reporters from Ivanka's abuse of private email.<br /><br />Trump's betrayal of the Syrian Kurds'--for years acknowledged as such courageous and reliable U.S. allies in the fight against ISIS--marks another deplorable chapter in U.S. foreign policy. Trump's heartless comments as he plans to abandon the Kurds--including their families and villages--to Turkish troops are too painful to repeat here.  Bolton had left by the time the policy was finalized, but he obviously also didn't care.  To him, the fate of Syrian Kurds was simply, ""all about Iran"".  Mattis resigned over it, but Bolton never asks himself who would ever trust the United States again?  Trump managed to turn his one foreign policy success in the Middle East into an abject failure.<br /><br />It can be disconcerting when a writer's personality and political viewpoint differ so strongly from one's own. For example, Bolton describes a trip to NATO headquarters that sent Mattis, Kelly and himself into a panic. Trump--always eager to undermine NATO (coincidentally, also a top Putin goal)--was going to threaten to leave if Germany didn't ""pay what they owed"".  Bolton says he ""doesn't know"" if Trump actually was wrong--over and over--about the arrangement or just was short-handing the fact that it was about NATO countries funding their military defense, not money..<br /><br />Well, you don't need national security clearance to know that Trump absolutely doesn't understand that NATO nations' are talking about the amount they're spending on their own defense, not something paid into a mutual ""kitty"" (they have one of those, too, but that's never what Trump is badgering them about.)  As usual, his target was Germany, whose leader--a woman--has emerged as the global leader of democracies, now that the U.S. has abdicated the role. Anyway, the meeting is tense, and eventually it ends without the U.S. withdrawing from yet another international agreement (Bolton, by the way, hates the Paris Climate Accords and the Iran Nuclear Deal. In this, he and Trump are quite simpatico.)  There's a large group at the end and Merkel extends her hand. Instead of shaking it, Trump bends down and kisses her on both cheeks, exclaiming, ""I love Angela!"" The onlookers, according to Bolton, applaud.  He seems to feel this was a good moment.  I felt embarrassed by my president and his team when reading it. (The Bush back rub wasn't bad enough?)<br /><br />Despite taking his book title from the hit musical ""Hamilton"", Bolton does little to create scenes and make events and personalities come alive. Much of this book is dry and dull. Still, Bolton may deserve –some- credit anyway for bringing it out before the election. (It’s really not ALL about the $2 million from Simon & Schuster, right?) He has, after all, made himself widely disliked on both the right and the left—and also has antagonized the ever-vindictive president and his powerful lackeys, including the attorney general. Trump and Barr have already indicated that they will make sure that Bolton -does- pay a price for making Trump look so bad,<br /><br />There've been a lot of unflattering quotes from this book--probably most of the interesting things are already out there. But he also appears to whitewash Trump's personality and his lack of dexterity with the language. Bolton mentions how the president is unfocused and talks too much (including during his infrequent intelligence briefings). But he never tries to capture the rambling, repetitive, often disturbing quality of Trump's unique style of verbal expression.  Trump here, like everyone else, speaks in short, succinct phrases whenever directly quoted.  In fact, everyone in direct quotes basically sounds the same. Did the publisher want quote marks in the text even though these are obviously NOT exact quotes?<br /><br />Again, I want a journalist or historian ""in the room"" with Trump on these occasions.  I want to know what was really said.<br /><br />Bolton doesn't represent Trump's unique verbal style--or his well-known temper and tirades, He does, at times, remind you of how often he fires people--and how often they quit. Or, as in Bolton's case, it's both. Bolton quit  and gave notice, only to have Trump jump the gun and announce that Bolton had been fired. It's credible because we saw him do the same with SOD James Mattis.<br /><br /> In one of the most disturbing quotes, Bolton observes that ""obstruction of justice as a way of life"" for Trump.  He warns that if he is re-elected, the ""last guardrail"" on the president--his obsession with being reelected--will be removed.  At that point, Bolton--who sees in Trump an opportunist with no core principles or philosophy--could do anything that he felt benefited him personally.  Given his warmth toward the world's dictators and autocrats--Putin, Kim Jung Un, Saudi MBS, Turkey's Erdogan, Xi--the potential for even greater corruption in a second term is huge.  Even now, Bolton describes Trump promising Erdogan he will intervene in a case involving the Turkish bank and SDNY ""as soon as I put my people in"". (Will he do the same for his major lender, Deutschebank?  We don't know how interconnected his personal interests are with the financial perks from the dictators of the world since he refuses to release his tax returns.).<br /><br />Bolton worked for George W. Bush, GWH Bush, and Ronald Reagan. But his 17 months with Donald Trump convinced him that not only was Trump unlike any other U.S. president, he was unfit to hold the office. Unfit, yet with Trump's 89% popularity with Republicans according to recent polls, and with the generally unwavering support from elected Republicans, it's hard to know if Bolton's intended audience will be reading this.  Election Day is less than five months away. The question you're left with is:: Will Bolton's warning make any difference?",3.0,0,2020
Well-written and well-researched narrative of governing with Trump in charge. But...,"This is a well researched book, of course, given Rucker's and Leonnig's reputation (and a Pulitzer prize each). They interviewed nearly 200 people, many of them top Trump advisors although most chose to remain unnamed sources. There are a lot of quotes, enlivening the text, and they know how to lay out a strong narrative with often-vivid details about the participants.<br /><br />There's no getting around it  President Trump is shown as erratic, impulsive, ignorant of the things a president should know, vindictive, profane and mean.  He runs a chaotic administration and likes it that way.  Pitting people against each other, creating insecure lackeys, is his preferred management style.  He did it at the Trump Organization, and the opportunities for testing loyalties--and making himself the center of all the attention--are even greater now.<br /><br />How many books describing a completely unfit president will be published before his core support drops significantly?  Books come. Books go, and yet Trump's support among Republicans in Congress and voters (95% or so approve of him) remains basically unchanged. (And, spoiler. The title is ironic, at least for the authors. Trump, who's used it at least four times, seems completely convinced of his superiority. In his mind, it is always others who have to be wrong--while he has to get all of the credit.  The writing was on the wall for Steve Bannon after he made the cover of TIME.  Trump treats both political appointees and experienced government experts the same--with disdain and disrespect.  He doesn't listen, won't learn, and thinks he knows ""more than the generals""...also, more than the communications director, the financial experts, intelligence officials, lawyers....and on and on.  As some previous biographers have noted, it would not surprise him to be told he knows more than anyone. He would agree.) When things go wrong—and they often do—his first thought is to find someone to blame. (And blame them he will, even if the problems were caused because they did exactly as he told them to.)<br /><br />Trump’s leadership style is also defined here by his temper, by uncontrolled (and apparently uncontrollable) rages.  This is not a psychologically well man. He is shown frequently ranting, raving, reducing people to tears (Nielsen and Sessions and Spicer are just three of them). We've all seen how he insults and demeans his political opponents or anyone who mildly criticizes him.  But Trump doesn't even treat ""his"" people with respect.  There is no manager in America who would not be reported for this kind of abusive behavior to HR--too many examples to list--and fired if it continued.  What Trump creates in the workplace is the definition of a ""hostile work environment"".<br /><br />His verbal abuse of others--including publicly humiliating women who don't even work for the government anymore like Lisa Page--would not be tolerated (by law) at any workplace in America.  Why are the behaviors these authors describe tolerated from the nation's top CEO?  There is no one who can rein him in and it's unnerving to read about his unrestrained tirades, including calling the nation's top generals--with their aides present, squirming-- ""babies"" and “dopes”. How is this permitted from the nation's president?<br /><br />Rex Tillerson wasn't a good SOS, but at least he shows up in book after book as having the spine to stand up to Trump.  He was genuinely upset about how Trump--who took five draft deferments during Vietnam--disrespected the nation's military leaders.  Tillerson did not deny calling Trump an ""f-ing moron"" after the above “dopes” meeting.  Preibus corralled Pence afterward to come and show Rex how to treat Trump with proper deference and how not look to look so contemptuous when he spoke--repetitiously, ignorantly, ramblingly, irrelevantly--in group meetings.  Working for Trump, means knowing and accepting that that loyalty is EVERYTHING.  And you show you're loyalty by endless flattery and compliance with whatever Donald Trump wants.<br /><br />Leonnig and Rucker show a profile of the nation from the Oval Office.  If I had to make a criticism--observation, really--its that it benefits from all their sources but also suffers from them.  With so much emphasis on information from those who had the willingness to work with Trump in the first place, the book fills a certain political niche, but lacks the sweep of popular history.  There's not enough about how Trump policies are impacting real peoples' lives, and little about what others are doing in opposition to his policies--and why.  The travel ban is one impactful decision extensively described, but the descriptions are largely confined to reactions in the executive branch (and, in one brief passage, what Trump staff sees happening at airports via television.).<br /><br />There’s ample detail but sometimes it lacks context.  The Russia investigation, for example, is gone into at great length, but some of Trump's statements are treated as if we all should assume they're true.  After how the authors' own paper has documented over 16,000 presidential lies in 3 years, they should be in the forefront of encouraging readers to be skeptical of whatever he says.  Certainly, no one can say with certainty what President Trump ""feels"" or ""believes"" about anything.  All we really know is what he says and does. This includes reaction to the Mueller investigation which has a number of missing pieces in the retelling, and is marred by the idea that ""Trump believed Putin when he said he wasn't involved"".<br /><br />""A Very Stable Genius"" is an up close look at Trump and how he governs. It rarely pulls the lens back for a wider view, for a look at his impact around America and how he's changing the country with his laws, his deregulations, his nationalism and his apparent goal of returning to the America of the 1950s. They leave it largely to the reader to make those conclusions for themselves. Some will appreciate that approach; others will wish for more of a sustained argument that a president like this is dangerously unfit for office.<br /><br />They quote one official who summarizes  Trump's impact at the top.  In the beginning of his administration, ""There was more of an ethos in the place of trying to help the institution and to help enlighten him rather than simply to execute his marching orders.""  Now, this official said, ""I'm not sure there are many, if any, left who view as their responsibility trying to help educate, moderate, enlighten and persuade--or even advise in many cases.  There's a new ethos: This is a presidency of one.  It's Trump unleashed, unchained, unhinged.""  In the end, we are left to imagine with some alarm what a second term would be like.",4.0,1,2020
"There should be a subtitle: ""How to make everything about race for fun and profit""","For someone who claims to be an anti-racist, the author spends an amazing amount of words making everything in the world about race. He can't even talk about getting his college acceptance letter without making a big deal about the race of the people standing around him when it happened.<br /><br />Every chapter begins with definitions of words related to race and racism. But Dr. Kendi not only picks the words, but makes up his own definitions for them so that he can then explain to all of us uneducated racists why they're such bad, bad things. His definition of the word race is blathering nonsense.<br />""Race: A power construct of collected or merged difference that lives socially.""<br />A power construct lives socially? I didn't know power constructs lived at all, Dr. Kendi!<br /><br />Kendi sets up a straw man in the form of a blatantly false dichotomy between ""assimilationists"" (who, according to him, think everyone not white is inferior, but can be taught to ""be white"" and, thus, fully human) and ""segregationists"" (who he says also think everyone not white is inferior, but are sure they can never learn to be white, i.e. human). This is, of course, nonsense. 99.999% of Americans do not believe either of these ideas, yet Kendi treats them as if everyone who is white MUST belong to one of these groups.<br /><br />Even the American ""melting pot"" is racist to Dr. Kendi. To him, it's forcing people to ""be white"" or not be accepted. I can't imagine the size of the blinders he's wearing to not see the influences of cultures from all over the world have had and are having on American society.<br />Rap music is one of the biggest-selling genres.<br />African-American athletes have multi-million dollar contracts with MLB, MLS, NBA, NFL, etc., etc.<br />It's hard to find even a small town in America that doesn't have restaurants that specialize in Italian, Chinese, Mexican/Tex-Mex food. A town of less than 3000 people not far from me has all 3.<br /><br />Then there's the bald-faced lie about President Trump calling Latinx immigrants animals. I know the media repeated this lie so many times that many people believe it's true (probably even more than think Sarah Palin actually said she could see Russia from her house), but the fact is he was talking very specifically about gang members (MS-13, to be very specific) that abuse our lax immigration/sanctuary laws to gain entrance to the country then engage in crimes ranging from drug dealing to cold-blooded murder. (You can look it up...Amazon doesn't seem to like me trying to include external links to news stories in my reviews.)<br /><br />Dr. Kendi has made a career of writing books about how horrible race relations are in the United States. The common thread through all of his books is, ""White is bad...always."" It's almost as if he is actively looking for racism and somehow, miraculously always finding it!<br /><br />This book will not show anyone how to be an antiracist. All it will do is try to get people to accept Dr. Kendi's ""white people are bad...all the time...in every way"" mentality...and make him a lot of money.<br /><br />I'd really like to know why my first review of this book was deleted. If someone reported it because this isn't a ""Verified purchase"" that's because I read the Kindle preview then got the book from the library. If it's for any other reason, I defy anyone to try and disprove one word of my review based on the content of the book.",1.0,0,2020
Monotonous,"Dragging pace and repetitive, I feel like I’ve been reading this book for 300 years— and I haven’t quite struggled to the halfway point! Add an immature protagonist who never seems to learn anything or grow spiritually and a few lackluster love interests and you have the recipe for a boring, go nowhere read that leaves you scratching your head. It is very rare for me to give up on a book, but when you find yourself rooting for the devil to end the misery of continuing the story, it’s time to slam the cover closed!",2.0,0,2020
Disappointing. Weak characters. Unanswered plot lines,"The premise of the story about the twins lives got lost in many pages of LGBTQ trans issues. It was like there was not enough going on with the sisters lives, the author felt it necessary to throw this red herring into the story. And I don’t say plot because it was not part of the plot. I was very intrigued about the lives of the sisters, but I got no satisfaction of what made them what they were. They just moved from one day to the next like they could not take charge of their lives. They each suffered a malaise that was similarly experienced but the author was too lazy to explore it. Ending was unsatisfying and abrupt.",2.0,0,2020
Should be in the fiction section,"I’m trying to read this book but it’s hard. Reads like a grade schooler wrote it. The authors, and I use that word loosely, claim H and M didn’t contribute to the book. Then how do they know some intimate details that they claim are true? Of course Meghan contributed. It’s a book trying to make her look like a victim when poor Harry is her victim like Trevor and Cory were. No one is as perfect as this book claims she is. I had high hopes for this marriage. A beautiful young American for a handsome prince. But the more I saw of this ungrateful couple the more disillusioned I became. I had hoped this book might change my mind but no, I just wasted my money.",1.0,0,2020
Stelter shows how Fox hosts serve as propagandists for Trump--and also nfluence his policies,"Stelter does a public service with this book, though those who need to read it most very llkely won't do so.  It shows how the morally unsavory Roger Ailes was put in charge of Fox News by conservative Australian billionaire Rupert Murdoch and turned it into a rightwing propaganda machine.  Stelter also shows how far back Ailes and Trump went--and Fox's role, thanks to Ailes, in turning Trump into someone conservatives listened to about politics.<br /><br />It was 2011 when Ailes started a weekly call-in feature every Monday with Trump on ""Fox and Friends"" As Stelter says ""the show reflected Ailes's hatred of Obama, fear of Muslims, and comfort with white male dominance."" Trump was a natural fit, and Ailes gave him a forum to share the so-called ""birtherism"" that would launch Trump's political career and set the stage for his presidency.<br /><br />Stelter shows how Fox found the big pile of money that was available to those who could convincingly peddle the attacks and defenses that their conservative audience wanted to hear.  Sean Hannity--the college dropout who Ailes had plucked from a talk radio outlet and turned into a mega-star--was so influential with President Trump that White House aides called him the chief of staff.  Sometimes Trump would ask for Fox's Lou Dobbs to be patched in during meetings with his economic advisers.<br /><br />They were all concerned with the same thing: popularity, ratings, money and power.  Stelter shows that this was a dangerous relationship before the covid pandemic in America; after it, the relationship was literally deadly..  The more Trump spread misinformation and outright lies about the pandemic--it's cause, spread and his handling of it--the more FOX championed his actions.  It didn't matter that the evening hosts' pro-Trump commentaries were invariably false.  What mattered was telling the Trump (and Fox) ""base"" what they wanted to hear.<br /><br />Arguably, as Stelter writes, Trump and the Fox evening hosts and those on ""Fox and Friends"" have been complicit in a national tragedy that will see over 200,000 Americans killed by covid-19 by Election Day. Fox's determination to keep Americans ignorant of the danger of the virus, of Trump's gross negligence throughout the crisis, and of what people should be doing to stay safe, makes them also culpable for the deaths of thousands of people who would be alive today if they were wearing masks and social distancing. Instead of relying on experts, Trump and Hannity et al played politics--it was, after all, an election year--with devastating results. Surely, there should be some accountability, and a recognition that what Fox does--in the main--is not journalism.<br /><br />[I deducted one star because his narrative of the Trump vendetta toward Megyn Kelly omits much essential information and a timeline that puts in perspective just how dangerous a man like Donald Trump would be if given great power.  Kelly writes in her autobiography that Trump not only knew her questions ahead of time, but pressured her and her exec producer not to ask the one about his past insults to women. She refused and afterwards suspected that he had her driver slip something into a Starbucks he insisted on getting for her. She became so ill that she almost didn't go on camera that night.<br /><br />In her memoir, Kelly described how Trump targeted her for months in tweets and other public comments in an effort to get revenge  Kelly received plenty of hate mail, and Fox was so worried for her safety that they hired a bodyguard.  It ended when Ailes eventually brokered a truce--with Kelly conducting a softball interview of Trump and both of them making nice for the camera.  It's a revealing story about Trump's character and relationship with Fox that Stelter's narrative would have benefitted from including. In spite of this--and the way he shortchanges how negative Fox's impact was from Bill Clinton's last term through Obama's presidency--his book does a service. It's a sincere and detailed effort to help Americans see through the propaganda and essential dishonesty of the network and hosts they trust and turn to for an understanding of the world.]",4.0,1,2020
Worst book in the series,"Started this book tonight and was so disappointed and disgusted by the amateurish writing—dialogue, plot both are just infantile. I doubt that anyone but Child’s brother wrote this novel—it is palpably stupid.<br />I stopped after about 3 chapters and deleted it from my iPad...<br />PLEASE don’t buy it—don’t incentivize this inane authorship o what was a great series...",1.0,0,2020
Best book I’ve read in a long time.,I agree with reviews I have read. This is a must read. I couldn’t put it down.  I hope there are many more books to follow. What a talented writer. I have to go take a nap. I missed a whole night of sleep. I highly recommend this book.,5.0,1,2020
